task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955976349/job/30421005789'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955976590/job/30421007587'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955976666/job/30421008350'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955977370/job/30421011761'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955977524/job/30421014986'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955977145/job/30421010285'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955978659/job/30421057338'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955976477/job/30421006678'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955977990/job/30421016108'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10955977525/job/30421013492'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-20-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,25d42b9f2d24836b3eeaad52f051c668e61c1b1a
