task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
verify-rc-source-cpp-linux-almalinux-10-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063074987/job/79879117557'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-linux-almalinux-10-amd64,github,"{'env': {'ALMALINUX': '10'}, 'target': 'cpp', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-linux-conda-latest-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063074884/job/79879117286'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'cpp', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-linux-ubuntu-22.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075001/job/79879117604'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-linux-ubuntu-24.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075820/job/79879119819'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-linux-ubuntu-24.04-amd64,github,"{'env': {'UBUNTU': '24.04'}, 'target': 'cpp', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-macos-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075626/job/79879119228'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-macos-amd64,github,"{'target': 'cpp', 'github_runner': 'macos-15-intel'}",verify-rc/github.macos.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-macos-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075898/job/79879120150'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-macos-arm64,github,"{'env': {'ARROW_FLIGHT': 0, 'ARROW_GANDIVA': 0, 'PYTEST_ADDOPTS': ""-k 'not test_cancellation'""}, 'target': 'cpp', 'github_runner': 'macos-14'}",verify-rc/github.macos.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-cpp-macos-conda-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063074952/job/79879117464'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-cpp-macos-conda-amd64,github,"{'target': 'cpp', 'use_conda': True, 'github_runner': 'macos-15-intel'}",verify-rc/github.macos.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-integration-linux-almalinux-10-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075254/job/79879118318'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-integration-linux-almalinux-10-amd64,github,"{'env': {'ALMALINUX': '10'}, 'target': 'integration', 'distro': 'almalinux'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-integration-linux-conda-latest-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075373/job/79879118584'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-integration-linux-conda-latest-amd64,github,"{'env': {'CONDA': 'latest'}, 'target': 'integration', 'distro': 'conda'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
verify-rc-source-integration-linux-ubuntu-22.04-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/27063075879/job/79879119979'],https://github.com/ursacomputing/crossbow/tree/nightly-release-2026-06-06-0-github-verify-rc-source-integration-linux-ubuntu-22.04-amd64,github,"{'env': {'UBUNTU': '22.04'}, 'target': 'integration', 'distro': 'ubuntu'}",verify-rc/github.linux.amd64.docker.yml,e980b7ef70f66c2d5b674bd637a070333e10a3fc
