task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899447177/job/30244857761'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899445886/job/30244849652'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446958/job/30244855953'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899445959/job/30244849451'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446654/job/30244854484'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446326/job/30244851549'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446298/job/30244851323'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446136/job/30244850476'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446554/job/30244853128'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/10899446040/job/30244849879'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-09-17-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,fea1e97feff9b5071ec352f32219920368991fd9
