task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/7623003118/job/20762146496'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
almalinux-8-arm64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/7623003773/job/20762148915'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7623003494/job/20762147624'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7623003010/job/20762145975'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7623002929/job/20762145702'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7623003744/job/20762148591'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
centos-7-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/7623004574/job/20762186383'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
centos-8-stream-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/7623003153/job/20762146622'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
centos-8-stream-arm64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/7623004103/job/20762150113'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/7623004453/job/20762185993'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-01-23-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,c9ca62ad781f1dd999570a51cae6d7c464af6e5c
