task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-10-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788773/job/51422647169'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-10-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-10', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
almalinux-10-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071789031/job/51422647717'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-10-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-10-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788387/job/51422646384'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071789186/job/51422648324'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071789126/job/51422647959'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788681/job/51422646951'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788476/job/51422646507'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071789445/job/51422648732'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788652/job/51422646869'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/18071788423/job/51422646386'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2025-09-28-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,9b96bdbc733d62f0375a2b1b9806132abc19cd3f
