task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/runs/6606278640?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-almalinux-8-amd64,github,"{'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.amd64.yml,841e905fb461561179f44ad6705146a9939613bc
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/runs/6606264992'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-travis-almalinux-8-arm64,travis,"{'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/travis.linux.arm64.yml,841e905fb461561179f44ad6705146a9939613bc
amazon-linux-2-amd64,success,['https://github.com/ursacomputing/crossbow/runs/6606276224?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-amazon-linux-2-amd64,github,"{'target': 'amazon-linux-2', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.amd64.yml,841e905fb461561179f44ad6705146a9939613bc
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/runs/6606282942?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-centos-7-amd64,github,"{'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.amd64.yml,841e905fb461561179f44ad6705146a9939613bc
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/runs/6606261414?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-centos-8-stream-amd64,github,"{'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.amd64.yml,841e905fb461561179f44ad6705146a9939613bc
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/runs/6606285123'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-travis-centos-8-stream-arm64,travis,"{'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/travis.linux.arm64.yml,841e905fb461561179f44ad6705146a9939613bc
conan-maximum,success,['https://github.com/ursacomputing/crossbow/runs/6606269607?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-conan-maximum,github,"{'flags': '-e ARROW_CONAN_WITH_LZ4=True', 'image': 'conan'}",docker-tests/github.linux.yml,841e905fb461561179f44ad6705146a9939613bc
conan-minimum,success,['https://github.com/ursacomputing/crossbow/runs/6606266383?check_suite_focus=true'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-github-conan-minimum,github,{'image': 'conan'},docker-tests/github.linux.yml,841e905fb461561179f44ad6705146a9939613bc
conda-clean,success,['https://github.com/ursacomputing/crossbow/runs/6606741726'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-azure-conda-clean,azure,{},conda-recipes/azure.clean.yml,841e905fb461561179f44ad6705146a9939613bc
conda-linux-gcc-py310-arm64,success,['https://github.com/ursacomputing/crossbow/runs/6606790633'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2022-05-26-0-azure-conda-linux-gcc-py310-arm64,azure,{'config': 'linux_aarch64_numpy1.21python3.10.____cpython'},conda-recipes/azure.linux.yml,841e905fb461561179f44ad6705146a9939613bc
