task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484447711/jobs/9992002959'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484446706/jobs/9992001075'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
almalinux-9-amd64,failure,['https://github.com/ursacomputing/crossbow/actions/runs/5484451047/jobs/9992011414'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484448458/jobs/9992004616'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484436624/jobs/9991979058'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484447155/jobs/9992001842'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484456072/jobs/9992022593'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484444953/jobs/9991997829'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484453444/jobs/9992016354'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484440350/jobs/9991987260'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
centos-9-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484450299/jobs/9992009203'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-centos-9-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-9-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
conan-maximum,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484438904/jobs/9991983962'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-conan-maximum,github,"{'flags': '-e ARROW_CONAN_PARQUET=True -e ARROW_CONAN_WITH_BROTLI=True -e ARROW_CONAN_WITH_BZ2=True -e ARROW_CONAN_WITH_FLIGHT_RPC=True -e ARROW_CONAN_WITH_GLOG=True -e ARROW_CONAN_WITH_JEMALLOC=True -e ARROW_CONAN_WITH_JSON=True -e ARROW_CONAN_WITH_LZ4=True -e ARROW_CONAN_WITH_SNAPPY=True -e ARROW_CONAN_WITH_ZSTD=True', 'image': 'conan'}",docker-tests/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
conan-minimum,success,['https://github.com/ursacomputing/crossbow/actions/runs/5484443506/jobs/9991994647'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-github-conan-minimum,github,{'image': 'conan'},docker-tests/github.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
conda-clean,success,['https://github.com/ursacomputing/crossbow/runs/14852359441'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-azure-conda-clean,azure,{},conda-recipes/azure.clean.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
conda-linux-aarch64-cpu-py3,success,['https://github.com/ursacomputing/crossbow/runs/14856447647'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-azure-conda-linux-aarch64-cpu-py3,azure,{'config': 'linux_aarch64_cuda_compiler_versionNone'},conda-recipes/azure.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
conda-linux-aarch64-cpu-r42,success,['https://github.com/ursacomputing/crossbow/runs/14855620841'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-07-07-0-azure-conda-linux-aarch64-cpu-r42,azure,"{'config': 'linux_aarch64_cuda_compiler_versionNone', 'r_config': 'linux_aarch64_r_base4.2'}",conda-recipes/azure.linux.yml,6a57a089aa2d7e3e4067cbcdfff391539e7ecd46
