task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314136058/job/22750937532'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135819/job/22750936493'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314136143/job/22750937966'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135969/job/22750937163'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
amazon-linux-2023-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135815/job/22750936513'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-amazon-linux-2023-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2023', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
amazon-linux-2023-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135810/job/22750936442'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-amazon-linux-2023-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2023-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314136277/job/22750951889'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314136020/job/22750937339'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314136232/job/22750951802'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135816/job/22750936486'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
centos-9-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/8314135928/job/22750936930'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2024-03-17-0-github-centos-9-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-9-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,b448b33808f2dd42866195fa4bb44198e2fc26b9
