task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
almalinux-8-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264899263/jobs/9516794924'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-almalinux-8-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-8', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
almalinux-8-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264892153/jobs/9516777613'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-almalinux-8-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-8-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
almalinux-9-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264896478/jobs/9516788622'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-almalinux-9-amd64,github,"{'architecture': 'amd64', 'target': 'almalinux-9', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
almalinux-9-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264889631/jobs/9516771177'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-almalinux-9-arm64,github,"{'architecture': 'arm64', 'target': 'almalinux-9-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
amazon-linux-2-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264890505/jobs/9516773694'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-amazon-linux-2-amd64,github,"{'architecture': 'amd64', 'target': 'amazon-linux-2', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
amazon-linux-2-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264894006/jobs/9516781834'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-amazon-linux-2-arm64,github,"{'architecture': 'arm64', 'target': 'amazon-linux-2-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
centos-7-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264887262/jobs/9516765194'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-centos-7-amd64,github,"{'architecture': 'amd64', 'target': 'centos-7', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
centos-8-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264900242/jobs/9516797097'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-centos-8-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-8-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
centos-8-stream-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264882773/jobs/9516755315'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-centos-8-stream-arm64,github,"{'architecture': 'arm64', 'target': 'centos-8-stream-aarch64', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
centos-9-stream-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/5264898538/jobs/9516793539'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2023-06-14-0-github-centos-9-stream-amd64,github,"{'architecture': 'amd64', 'target': 'centos-9-stream', 'task_namespace': 'yum', 'upload_extensions': ['.rpm']}",linux-packages/github.linux.yml,4653918cf23067e540e05e71799e8004fab8c7a2
