task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
homebrew-cpp,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161133419/job/83401639536'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-homebrew-cpp,github,{'formula': 'apache-arrow.rb'},homebrew-formulae/github.macos.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
python-sdist,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161133958/job/83401641521'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-python-sdist,github,{},python-sdist/github.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
r-binary-packages,success,"['https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83409114660', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771912', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771905', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771901', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771895', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771892', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83407771887', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046831', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046790', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046764', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046748', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046732', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046730', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046723', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83403046718', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825142', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825114', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825103', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825093', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825068', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825043', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401825032', 'https://github.com/ursacomputing/crossbow/actions/runs/28161136280/job/83401648678']",https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-r-binary-packages,github,{'custom_version': 'Unset'},r/github.packages.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp310-cp310-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161135010/job/83401645137'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp310-cp310-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.10', 'python_abi_tag': 'cp310', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp310-cp310-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161135024/job/83401645054'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp310-cp310-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.10', 'python_abi_tag': 'cp310', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp311-cp311-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161134222/job/83401642360'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp311-cp311-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.11', 'python_abi_tag': 'cp311', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp311-cp311-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161135820/job/83401647279'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp311-cp311-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.11', 'python_abi_tag': 'cp311', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp312-cp312-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161132804/job/83401636970'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp312-cp312-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.12', 'python_abi_tag': 'cp312', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp312-cp312-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161134301/job/83401642445'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp312-cp312-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.12', 'python_abi_tag': 'cp312', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
wheel-macos-monterey-cp313-cp313-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28161137717/job/83401654606'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-06-25-0-github-wheel-macos-monterey-cp313-cp313-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.13', 'python_abi_tag': 'cp313', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,b43a4179ddfe852937bb512040c11c31e79cccdf
