task_name,task_status,build_links,crossbow_branch_url,ci_system,extra_params,template,arrow_commit
homebrew-cpp,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703384082/job/85125020253'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-homebrew-cpp,github,{'formula': 'apache-arrow.rb'},homebrew-formulae/github.macos.yml,63786399094964013470d32b0dcfa800156b7930
python-sdist,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703384288/job/85125020628'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-python-sdist,github,{},python-sdist/github.yml,63786399094964013470d32b0dcfa800156b7930
r-binary-packages,success,"['https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127359330', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034893', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034892', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034891', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034886', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034884', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85127034878', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469771', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469662', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469652', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469640', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469637', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469632', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469628', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125469624', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070739', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070725', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070724', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070722', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070718', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070717', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125070708', 'https://github.com/ursacomputing/crossbow/actions/runs/28703382836/job/85125016435']",https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-r-binary-packages,github,{'custom_version': 'Unset'},r/github.packages.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp310-cp310-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703382629/job/85125016243'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp310-cp310-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.10', 'python_abi_tag': 'cp310', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp310-cp310-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703384423/job/85125020952'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp310-cp310-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.10', 'python_abi_tag': 'cp310', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp311-cp311-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703384560/job/85125021316'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp311-cp311-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.11', 'python_abi_tag': 'cp311', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp311-cp311-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703383438/job/85125018493'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp311-cp311-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.11', 'python_abi_tag': 'cp311', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp312-cp312-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703382934/job/85125016917'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp312-cp312-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.12', 'python_abi_tag': 'cp312', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp312-cp312-arm64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703382450/job/85125015426'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp312-cp312-arm64,github,"{'arch': 'arm64', 'arrow_jemalloc': 'OFF', 'python_version': '3.12', 'python_abi_tag': 'cp312', 'macos_deployment_target': '12.0', 'runs_on': 'macos-14', 'vcpkg_arch': 'arm64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
wheel-macos-monterey-cp313-cp313-amd64,success,['https://github.com/ursacomputing/crossbow/actions/runs/28703383451/job/85125018467'],https://github.com/ursacomputing/crossbow/tree/nightly-packaging-2026-07-04-0-github-wheel-macos-monterey-cp313-cp313-amd64,github,"{'arch': 'x86_64', 'arrow_jemalloc': 'ON', 'python_version': '3.13', 'python_abi_tag': 'cp313', 'macos_deployment_target': '12.0', 'runs_on': 'macos-15-intel', 'vcpkg_arch': 'amd64'}",python-wheels/github.osx.yml,63786399094964013470d32b0dcfa800156b7930
